text,size
"{finalsay,stopbrexit}",100
"{brexit,immigration}",98
"{national,guard}",87
"{immigration,finalsay}",86
"{brexit,farageonlbc}",79
"{farageonlbc,finalsay}",79
"{trump,immigration}",79
"{illegal,immigration}",76
"{farageonlbc,stopbrexit}",71
"{immigration,farageonlbc}",67
"{border,immigration}",55
"{immigration,daca}",53
"{mexico,border}",51
"{immigration,policy}",45
"{daca,immigration}",43
"{president,trump}",42
"{immigration,trump}",41
"{immigration,immigrants}",39
"{immigration,laws}",36
"{immigration,border}",36
