text,size
_aaa,1
aaron,1
abandoning,1
abbott,1
abiding,5
ability,13
abject,1
able,63
abolish,4
abolishing,1
abortion,1
abraham,1
abroad,12
absence,3
absent,1
absentee,1
absolute,2
absolutely,29
absurd,4
abu,1
abundance,1
abuse,8
abused,7
abuses,3
abusing,2
abusive,1
academic,4
accelerated,1
accelerating,1
accept,8
acceptable,1
accepted,2
access,4
accident,1
accidentally,1
accidents,1
accommodation,1
accompanied,2
accompany,1
accomplished,1
accomplishment,1
accomplishments,1
accorded,2
according,14
accords,1
account,10
accountability,4
accountable,13
accountants,3
accounting,4
accounts,7
accurate,3
accused,1
accustomed,2
aces,5
achieve,4
achieved,1
achievement,3
achieving,1
acknowledge,3
acknowledged,2
acquiring,1
acre,2
acrimonious,1
acrobats,1
across,28
act,21
acted,1
acting,3
action,13
actions,5
active,1
activist,2
activists,2
activities,2
activity,4
acts,1
actual,1
actually,62
ad,2
adam,1
adan,4
add,15
added,4
addicted,1
addiction,1
adding,4
addition,10
additional,5
address,32
addressed,2
addresses,1
addressing,1
adequate,1
adequately,3
adjunct,1
adjust,1
adjustments,1
administer,1
administration,53
administrations,2
admiration,4
admirer,1
admit,2
admitted,3
admonitions,2
adopt,3
adopted,1
adoption,2
ads,4
adult,3
adults,8
advance,1
advanced,2
advancements,1
advancing,1
advantage,11
advantaged,1
advantages,3
adversarial,2
adversaries,1
adversely,1
advertise,1
advertising,2
advice,5
advise,2
advised,3
adviser,1
advisers,5
advisor,2
advisors,1
advocacy,3
advocate,5
advocated,3
advocates,6
advocating,7
affairs,1
affect,4
affected,3
affects,1
affiliated,1
affiliations,1
affinion,1
affinity,1
affirmation,1
afford,9
affordable,8
afforded,1
afghan,2
afghanistan,22
afraid,8
africa,3
african,4
aftermath,1
afterwards,4
age,14
agencies,9
agency,13
agenda,4
agendas,1
agent,4
agents,9
ages,1
aggressive,4
aggressively,3
agjobs,3
ago,37
agree,37
agreeable,1
agreed,5
agreeing,1
agreement,10
agreements,6
agrees,3
agribusiness,1
agricultural,6
agriculture,2
agriculturebuffalo,1
ahead,39
ahmadinejad,5
aid,8
aide,2
aided,1
aides,2
aimed,1
aims,1
air,7
airman,1
airplanes,1
airport,1
aisle,2
akash,1
akin,1
al,10
alabama,1
alan,1
alarmingly,1
albeit,1
alcohol,1
alien,1
aliens,17
aligning,1
alike,1
alison,1
alive,3
allegiance,3
alleging,2
allergies,1
alliance,3
alliances,1
allies,6
allison,1
allotted,1
allow,21
allowed,16
allowing,7
allows,7
alluded,1
almost,26
alone,3
alonesan,2
along,19
alongside,1
alphabet,1
already,28
alright,4
alter,1
altered,1
alternative,5
alternatives,2
although,8
altogether,1
always,40
alzheimer,1
alzheimers,1
amazing,2
ambassador,1
ambiguous,1
ambivalence,2
ambivalent,2
amen,1
amend,1
amendment,28
america,160
american,187
americanism,1
americans,71
amid,1
amilcar,1
amnesty,33
amniotic,1
amok,1
among,15
amongst,1
amount,8
amounted,1
amounts,3
ample,1
amplify,1
amusement,1
amy,3
analogous,1
analogy,2
analyses,1
analysis,4
analyst,3
analytics,1
analyzes,1
analyzing,1
ancestors,2
ands,1
anecdotal,1
angeles,3
anger,2
angry,6
animal,1
animals,1
animating,1
anita,1
ann,2
annapolis,1
anniversary,3
announced,8
announcement,2
announcements,4
announcing,1
annoyed,2
annual,3
annually,2
anonymity,2
another,55
answer,63
answers,8
anti,12
anticipate,2
antithetical,1
antonin,1
antonio,1
anushri,1
anxieties,1
anxiety,2
anxietythe,2
anybody,25
anymore,9
anyone,22
anything,35
anyway,1
anywhere,2
apart,4
apartment,7
