text,size
______,2
____________________________part,1
_______________there,1
_____critics,1
_____get,1
_____have,1
_____he,1
_____it,1
_____see,1
_____she,2
_____since,2
_____the,2
_____we,1
_____your,1
___ap,1
___associated,4
___china,1
___chinese,1
___epa,2
___facebook,1
___find,2
___french,1
___go,3
___mexicotrump,1
___pace,1
___peoples,1
___puerto,1
___q,3
___stevenson,1
___tech,1
___the,1
___this,2
___us,1
___vadavid,1
__associated,1
aaron,2
abandon,2
abandoned,1
abc,2
abdel,3
abducted,2
abductees,1
abducting,1
abductions,1
abe,13
aberrant,1
aberrations,1
abilities,1
ability,7
ablan,1
able,9
aboard,2
aboriginal,1
abortion,3
abraham,1
abroad,1
abrogate,1
abruptly,2
absence,2
absent,3
absolute,4
absolutely,1
absolutism,1
abstract,1
abundis,1
abuse,4
abuses,1
academia,1
academic,2
academy,2
accelerate,1
accelerated,2
acceptable,1
acceptance,2
accepted,4
accepting,3
accepts,1
access,9
accessing,1
accident,2
accidentally,1
acclaim,1
acclaiming,1
accommodating,1
accompanied,1
accompanying,3
accomplished,2
accomplishments,1
accord,1
accordance,2
according,34
account,6
accountability,1
accountable,1
accounts,8
accuracy,2
accusations,8
accuse,3
accused,14
accusing,3
accustomed,1
acemoglu,1
achievable,1
achieve,6
achieved,4
achieving,1
acker,2
acknowledge,2
acknowledged,3
acknowledges,1
aclu,2
acosta,1
acquired,2
acquisition,1
acquisitions,1
acre,1
acres,4
acrimonious,1
across,28
act,34
acted,3
acting,9
action,29
actions,7
active,2
actively,1
activism,2
activist,3
activists,5
activities,7
activity,3
actor,11
actress,11
acts,4
actuality,1
actually,11
ad,2
adam,5
adaptive,1
add,8
added,30
addiction,1
adding,6
addition,3
additional,22
address,95
addressed,2
addresses,2
addressing,2
adds,2
adequate,1
adhere,1
adjustments,3
adler,3
administered,1
administration,93
administrations,4
administrative,2
administrator,9
administrators,2
admiral,1
admissions,1
admit,1
admitted,3
adopt,1
adopted,6
adopts,1
adoring,1
ads,2
adult,2
adults,3
advance,3
advanced,7
advancement,1
advances,3
advancing,2
advantage,18
adventure,1
adversary,1
adversely,1
advertised,2
advertising,4
advice,1
advised,1
adviser,13
advisers,5
advises,1
advisors,2
advisory,2
advocacy,7
advocate,4
advocated,1
advocates,5
advocating,1
aerospace,1
affair,6
affairs,16
affect,3
affected,3
affecting,3
affiliate,1
affiliated,1
affiliating,1
affiliation,1
affinity,1
affirm,1
affirmed,2
affluent,2
affluenza,1
afford,2
affordable,1
affords,1
affront,1
afloat,2
africa,3
african,7
africom,2
afrin,3
afterglow,1
afternoon,6
afterward,1
age,11
aged,1
agencies,6
agency,40
agenda,12
agent,15
agents,15
aggressive,4
